Date of birth;Place of birth;Age;Height;Citizenship;Position;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club
Jun 10, 2002;Glasgow;20;185;Scotland;Defender - Left-Back;both;Jul 9, 2022;Jun 30, 2026;;PLG;Brentford FC;€18.00m;Jun 7, 2022;Aaron Hickey;HICKEY A.;591949;25002;2;€18.00m;;;;;;
Dec 26, 1990;Caerphilly;32;178;Wales;midfield - Central Midfield;right;Aug 1, 2022;Jun 30, 2023;adidas;Avid Sports Group;OGC Nice;€45.00m;May 28, 2018;Aaron Ramsey;RAMSEY A.;50057;99999999;16;€3.00m;;;;;;
Nov 28, 1996;Goulmima;26;186;Morocco / Germany;midfield - Attacking Midfield;right;Jan 31, 2023;Jun 30, 2023;;Amin Sakman;UC Sampdoria;€4.00m;Dec 23, 2022;Abdelhamid Sabiri;SABIRI A.;340394;99999999;11;€3.00m;;;ACF Fiorentina;Jun 30, 2026;;
Jan 13, 1998;Leiden;25;182;Morocco / Netherlands;midfield - Central Midfield;both;Jul 1, 2022;Jun 30, 2024;;PRO10 Sports;US Sassuolo;€3.50m;Jan 6, 2021;Abdou Harroui;HARROUI A.;416386;99999999;8;€3.00m;;;;;;
Mar 3, 1994;Nantes;29;188;France / Guinea;midfield - Defensive Midfield;right;Aug 31, 2021;Jun 30, 2025;;Relatives;Genoa CFC;€10.00m;Mar 7, 2019;Abdoulaye Tour;TOUR A.;181382;99999999;94;€1.80m;;;;;;
Oct 17, 1992;Belgrad;30;185;Montenegro / Serbia;Defender - Right-Back;right;Jul 1, 2017;Jun 30, 2025;;DOO Magnum;SS Lazio;€10.00m;Jun 7, 2018;Adam Marusic;MARUSIC A.;239802;196;77;€7.50m;Mar 30, 2022;;;;;
Aug 23, 2002;Bratislava;20;188;Slovakia;Defender - Centre-Back;left;Jul 1, 2021;Jun 30, 2026;Nike;;Cagliari Calcio;€1.40m;Dec 22, 2022;Adam Obert;OBERT A.;568333;99999999;33;€1.40m;Feb 24, 2022;club option 1 year;;;;
Nov 11, 1996;Chambray-lès-Tours;26;172;Algeria / France;Attack - Right Winger;left;Sep 1, 2022;Jun 30, 2024;;Henri Zambelli;LOSC Lille;€10.00m;Mar 1, 2019;Adam Ounas;OUNAS A.;400485;99999999;11;€8.00m;;Option for a further year;;;;
Jun 18, 1992;Fontenay-aux-Roses;30;186;France / Mali;Defender - Centre-Back;right;Jul 1, 2021;Jun 30, 2024;;ESN;Bologna FC 1909;€10.00m;Dec 17, 2018;Adama Soumaoro;SOUMAORO A.;126673;217;5;€3.50m;;;;;;
Jan 12, 1998;Zagreb;25;194;Croatia;Goalkeeper;right;Aug 11, 2021;Jun 30, 2025;adidas;P&P Sport Management S.A.M.;Genoa CFC;€2.30m;Jun 24, 2021;Adrian Semper;SEMPER A.;317057;99999999;1;€1.50m;;;;;;
Apr 3, 1995;Saint-Maurice;28;188;France;midfield - Central Midfield;left;Jul 1, 2019;Jun 30, 2023;adidas;Relatives;Juventus FC;€50.00m;Jun 4, 2018;Adrien Rabiot;RABIOT A.;182913;277;25;€30.00m;;;;;;
Mar 15, 1989;Angoulême;34;175;Portugal / France;midfield - Central Midfield;right;Jan 4, 2022;Jun 30, 2023;;MadeinFootball;Al-Wahda FC Abu Dhabi;€25.00m;Oct 31, 2016;Adrien Silva;ADRIEN SILVA;56810;280;23;€1.80m;;;;;;
Feb 4, 1994;Lille;29;180;Cameroon / France;midfield - Defensive Midfield;right;Sep 3, 2020;Jun 30, 2024;;Pedacus;Hellas Verona;€10.00m;Jun 7, 2022;Adrien Tam ze;TAMEZE A.;157507;11508;61;€8.00m;;;;;;
Dec 20, 2002;Kirkuk;20;175;Sweden / Iraq;midfield - Central Midfield;right;Jan 17, 2023;Jun 30, 2024;;BHM Sports Agency;FC Groningen;€1.20m;Jun 9, 2021;Aimar Sher;SHER A.;579294;99999999;31;€1.00m;;Option to buy;Spezia Calcio;Jun 30, 2026;;
Aug 29, 1997;London;25;180;England / Jamaica;midfield - Right Midfield;right;Sep 1, 2022;May 31, 2023;Nike;Tier One;Southampton FC;€18.00m;Sep 12, 2019;Ainsley Maitland Niles;NILES A.;285845;99999999;3;€8.00m;;;Arsenal FC;Jun 30, 2023;;
Jun 9, 2002;Abidjan;20;180;Cote d'Ivoire;midfield - Central Midfield;right;Jan 31, 2023;Jun 30, 2023;;Mp Management;Ascoli Calcio;€1.00m;Jun 23, 2022;Alassane Sidibe;SIDIBE A.;616638;99999999;25;€900k;;;Atalanta BC;Jun 30, 2024;;
Jun 15, 1997;Reykjavík;25;177;Iceland;Attack - Right Winger;right;Jan 31, 2022;-;;GG11;Genoa CFC;€4.00m;Mar 6, 2021;Albert Gudmundsson;GUDMUNDSSON A.;305947;99999999;11;€3.50m;;;;;;
Aug 19, 1991;Trescore Balneario;31;188;Italy;Goalkeeper;left;Sep 3, 2021;Jun 30, 2024;adidas;Vigo Global Sport Services Srl;Panathinaikos Athens;€1.50m;Jun 29, 2015;Alberto Brignoli;BRIGNOLI A.;146799;99999999;91;€1.50m;;;;;;
Apr 16, 1996;Parma;27;194;Italy;Attack - Centre-Forward;right;Aug 17, 2021;Jun 30, 2023;Nike;TMP SOCCER srl;Como 1907;€7.50m;Jun 18, 2018;Alberto Cerri;CERRI A.;197751;99999999;27;€2.00m;Jul 2, 2022;Obligation to buy with conditions;Cagliari Calcio;Jun 30, 2024;;
Mar 7, 1995;Lumezzane;28;183;Italy;midfield - Central Midfield;right;Aug 17, 2022;Jun 30, 2023;;M.A.R.A.T. Football Management;FC Empoli;€7.00m;Jun 7, 2018;Alberto Grassi;GRASSI A.;197473;375;5;€2.00m;;Obligation to buy with conditions;Parma Calcio 1913;Jun 30, 2024;;
Apr 4, 2003;Cittadella;20;;Italy;Goalkeeper;;Jul 25, 2022;Jun 30, 2023;;;Luparense FC;€100k;Jun 23, 2022;Alberto Milan;MILAN A.;652920;99999999;1;€50k;;;;;;
Jul 28, 1989;Stockholm;33;186;Sweden;midfield - Defensive Midfield;right;Jul 13, 2022;Jun 30, 2024;;MD Management;Spezia Calcio;€5.00m;Dec 20, 2018;Albin Ekdal;EKDAL A.;49275;392;8;€800k;;;;;;
Aug 17, 1999;Belgrad;23;184;Serbia;Defender - Left-Back;left;Jul 1, 2019;Jun 30, 2024;Nike;Unnak Sports;ACF Fiorentina;€2.00m;Jun 24, 2021;Aleksa Terzi;TERZI A.;404260;99999999;15;€1.50m;;;;;;
Jan 15, 2003;Kraków;20;189;Poland;Attack - Centre-Forward;left;Jan 29, 2023;Jun 30, 2023;;Gianluca Di Carlo;Standard de Liège 16 FC;€3.00m;Aug 18, 2020;Aleksander Buksa;BUKSA A.;553757;99999999;44;€800k;;;Genoa CFC;Jun 30, 2026;;
Mar 19, 1991;Valuyki, Belgorod Oblast;32;184;Russia;Attack - Centre-Forward;right;Aug 31, 2022;May 31, 2023;;22 Sportsmanagement GmbH;Aris Limassol;€18.00m;Mar 3, 2014;Aleksandr Kokorin;KOKORIN A.;89086;99999999;99;€800k;;;ACF Fiorentina;Jun 30, 2024;;
Oct 17, 1995;Slavyansk-na-Kubani, Krasnodar Region;27;182;Russia;midfield - Attacking Midfield;left;Aug 11, 2022;Jun 30, 2023;adidas;Shpinev Vadim;Torino FC;€18.00m;Dec 23, 2019;Aleksey Miranchuk;MIRANCHUK AL.;255450;99999999;59;€12.00m;;Option to buy;Atalanta BC;Jun 30, 2024;;
Jun 3, 1996;Příbram;26;185;Czech Republic;Defender - Right-Back;right;Aug 26, 2022;Jun 30, 2024;;;Palermo FC;€1.90m;Dec 12, 2019;Ales Mateju;MATEJU A.;242078;99999999;37;€1.00m;;;;;;
Apr 13, 1999;Casalmaggiore;24;190;Italy;Defender - Centre-Back;left;Aug 30, 2017;Jun 30, 2024;Puma;TMP SOCCER srl;Inter Milan;€60.00m;May 25, 2021;Alessandro Bastoni;BASTONI A.;315853;19047;95;€55.00m;May 28, 2021;;;;;
Jan 16, 1991;Roma;32;185;Italy;Goalkeeper;right;Dec 14, 2018;Jun 30, 2025;;SP GROUP;Hellas Verona;€200k;Jun 8, 2012;Alessandro Berardi;BERARDI A.;127217;99999999;22;€50k;Oct 11, 2022;;;;;
Oct 1, 2002;Torino;20;173;Italy;midfield - Central Midfield;right;Jul 1, 2022;Jun 30, 2026;;;ACF Fiorentina;€600k;Mar 21, 2023;Alessandro Bianco;BIANCO A.;602124;99999999;42;€600k;Aug 19, 2022;Option for a further year;;;;
Jun 6, 1999;Torino;23;194;Italy;Defender - Centre-Back;left;Jul 1, 2018;Jun 30, 2025;;Gr Sports;Torino FC;€8.00m;Mar 21, 2023;Alessandro Buongiorno;BUONGIORNO A.;386446;19942;4;€8.00m;Nov 5, 2021;;;;;
Aug 1, 1995;San Gavino Monreale;27;190;Italy;midfield - Central Midfield;right;Jul 1, 2014;Jun 30, 2025;;Team Raiola;Cagliari Calcio;€2.00m;Oct 14, 2021;Alessandro Deiola;DEIOLA A.;235931;19037;14;€1.80m;Aug 1, 2022;;;;;
Mar 11, 1991;Roma;32;173;Italy;Defender - Right-Back;right;Jul 1, 2022;Jun 30, 2025;Nike;World Soccer Agency;AC Milan;€30.00m;Jun 7, 2018;Alessandro Florenzi;FLORENZI A.;130365;456;25;€2.50m;;;;;;
Mar 12, 2000;Crema;23;187;Italy;Goalkeeper;right;Jul 26, 2022;Jun 30, 2025;;TMP SOCCER srl;Delfino Pescara 1936;€2.50m;Jun 6, 2019;Alessandro Plizzari;PLIZZARI A.;357991;99999999;22;€600k;;;;;;
Oct 3, 2000;Carpi;22;188;Italy;Defender - Right-Back;right;Jan 7, 2023;Jun 30, 2023;;Gea World;UC Sampdoria;€5.00m;Mar 21, 2023;Alessandro Zanoli;ZANOLI A.;397225;99999999;59;€5.00m;;;SSC Napoli;Jun 30, 2026;;
Jun 28, 1994;Fiesole;28;184;Italy;Goalkeeper;right;Jul 1, 2022;Jun 30, 2023;Nike;Promoesport;AC Monza;€20.00m;Jun 6, 2019;Alessio Cragno;CRAGNO A.;12907;99999999;89;€4.00m;;Obligation to buy with conditions;Cagliari Calcio;Jun 30, 2024;;
Feb 7, 2002;Motta di Livenza;21;191;Italy;Goalkeeper;;Aug 18, 2022;Jun 30, 2023;;;AC Renate;€75k;Jun 30, 2021;Alessio Furlanetto;FURLANETTO A.;538079;99999999;1;€50k;;;Lazio U19;-;;
Mar 7, 2003;Cecina;20;;Italy;Defender - Left-Back;left;Jul 15, 2022;Jun 30, 2023;;;Piacenza Calcio 1919;€150k;Jun 23, 2022;Alessio Rizza;RIZZA A.;641553;99999999;3;€125k;;;Empoli Primavera;-;;
Jan 12, 1995;Anzio;28;185;Italy;Defender - Centre-Back;left;Jul 12, 2022;Jun 30, 2027;Nike;Team Raiola;SS Lazio;€50.00m;Mar 1, 2019;Alessio Romagnoli;ROMAGNOLI A.;197747;480;13;€18.00m;;;;;;
Jan 1, 1983;Vittorio Veneto;40;188;Italy;Goalkeeper;right;Jul 1, 2021;Jun 30, 2023;;QUAN SPORTS MANAGEMENT ITALIA;Inter Milan;€1.00m;Jun 8, 2017;Alex Cordaz;CORDAZ A.;16633;99999999;21;€300k;Jun 23, 2022;;;;;
Jul 1, 1994;Modena;28;191;Italy;Defender - Centre-Back;right;Jan 2, 2023;Jun 30, 2023;;Romano Eleven SAS;US Cremonese;€2.50m;Dec 12, 2019;Alex Ferrari;FERRARI A.;197491;490;24;€1.50m;;;UC Sampdoria;Jun 30, 2025;;
Mar 22, 1997;Udine;26;190;Italy;Goalkeeper;left;Jul 1, 2019;Jun 30, 2024;adidas;P&P Sport Management S.A.M.;SSC Napoli;€40.00m;Dec 12, 2019;Alex Meret;MERET A.;240414;99999999;1;€18.00m;Oct 5, 2022;Option for a further year;;;;
Jan 26, 1991;Catanduva;32;181;Brazil;Defender - Left-Back;left;Aug 20, 2015;Jun 30, 2023;Nike;;Juventus FC;€50.00m;Mar 24, 2018;Alex Sandro;ALEX SANDRO;79960;510;12;€4.50m;Dec 20, 2018;performance option;;;;
Dec 19, 1988;Tocopilla;34;169;Chile;Attack - Centre-Forward;right;Aug 10, 2022;Jun 30, 2023;Nike;Fernando Felicevich;Olympique Marseille;€70.00m;Jan 2, 2018;Alexis S nchez;NCHEZ A.;40433;99999999;70;€4.50m;;both parties 1 year;;;;
Jun 27, 1999;Berchem-Sainte-Agathe;23;180;Belgium;Attack - Right Winger;right;Sep 1, 2020;Jun 30, 2026;;Relatives;AC Milan;€20.00m;Dec 28, 2021;Alexis Saelemaekers;SAELEMAEKERS A.;381950;14543;56;€15.00m;Oct 15, 2021;;;;;
Mar 10, 1993;Accra;30;178;Ghana / Italy;midfield - Central Midfield;left;Sep 1, 2020;Jun 30, 2024;;;ACF Fiorentina;€18.00m;Dec 20, 2018;Alfred Duncan;DUNCAN A.;184894;587;32;€5.00m;;;;;;
Jul 17, 1997;Conakry;25;183;Guinea;midfield - Defensive Midfield;right;Aug 31, 2022;Jun 30, 2025;Nike;ROOF;RSC Anderlecht;€23.00m;Mar 3, 2020;Amadou Diawara;DIAWARA A.;355501;99999999;21;€2.50m;;;;;;
Feb 24, 1994;Prishtinë;29;192;Kosovo / Albania;Defender - Centre-Back;both;Jan 20, 2020;Jun 30, 2024;;Soccer11;SSC Napoli;€25.00m;Mar 15, 2022;Amir Rrahmani;RRAHMANI A.;257732;13580;13;€25.00m;;;;;;
Dec 20, 1993;Calcinate;29;181;Italy;Attack - Centre-Forward;right;Aug 28, 2022;Jun 30, 2023;adidas;;AS Roma;€40.00m;Dec 29, 2017;Andrea Belotti;BELOTTI A.;167727;758;11;€9.00m;;club option 2 years;;;;
Feb 20, 2000;Genova;23;183;Italy;Defender - Left-Back;both;Jul 15, 2022;Jun 30, 2023;adidas;BC Group;Bologna FC 1909;€6.50m;Sep 27, 2022;Andrea Cambiaso;CAMBIASO A.;459658;33391;50;€6.50m;;;Juventus FC;Jun 30, 2027;;
Feb 4, 2001;Sorgono;22;187;Italy;Defender - Centre-Back;left;Jan 31, 2023;Jun 30, 2023;Puma;Reset Group Srl;Venezia FC;€5.00m;Jun 3, 2021;Andrea Carboni;CARBONI A.;481834;24671;44;€4.00m;;;AC Monza;Jun 30, 2027;;
Jan 27, 1987;Milano;36;189;Italy;Goalkeeper;right;Sep 1, 2014;Jun 30, 2024;;PDP s.r.l.  Pasqualin D’Amico Partners;US Sassuolo;€8.00m;Jul 1, 2014;Andrea Consigli;CONSIGLI A.;35865;99999999;47;€1.50m;Nov 3, 2021;;;;;
Mar 2, 1994;Lecco;29;184;Italy;Defender - Right-Back;right;Jan 10, 2022;Jun 30, 2025;;M.A.R.A.T. Football Management;UC Sampdoria;€18.00m;Mar 1, 2019;Andrea Conti;CONTI A.;111227;99999999;13;€600k;Feb 10, 2022;;;;;
Mar 2, 1994;Lecco;29;184;Italy;Defender - Right-Back;right;Jan 10, 2022;Jun 30, 2025;;M.A.R.A.T. Football Management;UC Sampdoria;€18.00m;Mar 1, 2019;Andrea Conti;CONTI A.;111227;99999999;13;€600k;Feb 10, 2022;;;;;
May 8, 2003;Napoli;19;186;Italy;Goalkeeper;right;Jul 22, 2022;Jun 30, 2023;;G.E.V. Sport&management srl;Delfino Pescara 1936;€200k;Jun 23, 2022;Andrea D Aniello;ANIELLO A.;640544;99999999;31;€200k;;;;;;
May 17, 1997;Pisa;25;191;Italy;Attack - Centre-Forward;right;Aug 12, 2022;Jun 30, 2023;;World Soccer Agency;Ternana Calcio;€6.50m;Oct 12, 2018;Andrea Favilli;FAVILLI A.;340151;99999999;17;€1.40m;;Buy-option with buy-back option;Genoa CFC;-;;
May 6, 1991;Marino;31;190;Italy;Attack - Centre-Forward;right;Jul 19, 2022;Jun 30, 2023;Nike;FK Sport Management SRL;SPAL;€2.50m;Jun 5, 2019;Andrea La Mantia;MANTIA A.;134983;99999999;19;€1.20m;;Obligation to buy with conditions;FC Empoli;-;;
Feb 5, 1986;Viareggio;37;184;Italy;Defender - Centre-Back;right;Sep 5, 2022;Jun 30, 2024;adidas;PDP s.r.l.  Pasqualin D’Amico Partners;FC Südtirol;€5.00m;Jun 30, 2010;Andrea Masiello;MASIELLO A.;34198;99999999;55;€400k;Mar 8, 2023;;;;;
Jan 14, 2003;Palermo;20;181;Italy;midfield - Right Midfield;right;Aug 11, 2022;Jun 30, 2026;;World Soccer Agency;Frosinone Calcio;€400k;Jun 23, 2022;Andrea Oliveri;OLIVERI A.;663939;99999999;41;€400k;;;Atalanta Primavera;-;;
Jun 30, 1995;Trieste;27;190;Italy;Attack - Centre-Forward;left;Aug 12, 2022;Jun 30, 2023;;Gr Sports;AC Monza;€20.00m;Jun 6, 2019;Andrea Petagna;PETAGNA A.;199258;99999999;37;€10.00m;;Obligation to buy with conditions;SSC Napoli;Jun 30, 2024;;
May 19, 1999;Cles;23;185;Italy;Attack - Centre-Forward;right;Aug 11, 2022;Jun 30, 2027;;Team Raiola;US Sassuolo;€20.00m;Jun 7, 2022;Andrea Pinamonti;PINAMONTI A.;315865;14183;9;€17.00m;;;Inter Milan;Jun 30, 2024;;
May 19, 1999;Cles;23;185;Italy;Attack - Centre-Forward;right;Aug 11, 2022;Jun 30, 2027;;Team Raiola;US Sassuolo;€20.00m;Jun 7, 2022;Andrea Pinamonti;PINAMONTI A.;315865;14183;9;€17.00m;;;Inter Milan;Jun 30, 2024;;
Feb 25, 1993;Torino;30;176;Italy;midfield - Defensive Midfield;right;Sep 1, 2022;Jun 30, 2023;;Reset Group Srl;FC Südtirol;€900k;Jun 29, 2015;Andrea Schiavone;SCHIAVONE A.;136133;99999999;88;€400k;;Option for a further year;;;;
Feb 22, 2002;Singapore;21;195;Denmark;Goalkeeper;right;Jan 10, 2023;Jun 30, 2023;;Sivebaek Sports;SCR Altach;€400k;Mar 20, 2023;Andreas Jungdal;JUNGDAL A.;592924;99999999;1;€400k;;Option to buy;AC Milan;Jun 30, 2024;;
Dec 29, 1999;Hillerød;23;187;Denmark;Attack - Right Winger;left;Jan 28, 2022;Jun 30, 2026;;MB Sports;Club Brugge KV;€20.00m;Nov 4, 2022;Andreas Skov Olsen;SKOV OLSEN A.;432982;99999999;7;€17.00m;;;;;;
Aug 23, 2003;Novara;19;189;Romania / Italy;Defender - Centre-Back;right;Jul 1, 2021;-;;SEG;Torino Primavera;€75k;Jun 23, 2022;Andrei Anton;ANTON A.;704729;99999999;4;€75k;;;;;;
Apr 13, 2002;Chișinău;21;195;Moldova / Romania;Defender - Centre-Back;right;Jan 6, 2023;Jun 30, 2023;;Gea World;ACN Siena;€100k;Jun 23, 2022;Andrei Motoc;MOTOC A.;816930;99999999;46;€100k;;Option to buy;US Salernitana 1919;Jun 30, 2025;;
Jan 10, 2002;Kópavogur;21;187;Iceland;midfield - Central Midfield;right;Jul 6, 2022;Jun 30, 2023;Nike;CAA Stellar;NEC Nijmegen;€1.00m;Dec 29, 2020;Andri Fannar Baldursson;BALDURSSON A.;464446;99999999;8;€500k;;Buy-option with buy-back option;Bologna FC 1909;Jun 30, 2025;;
Aug 24, 2002;Caserta;20;184;Italy;Attack - Centre-Forward;;Jul 16, 2022;Jun 30, 2023;;Avvocato Claudio Parlato;Casertana FC;€75k;Jun 23, 2022;Angelo Guida;GUIDA A.;651206;99999999;96;€50k;;;;;;
