Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore;Player_id
34;26;5;3;2;1;Lucas Torreira;11341
30;25;2;3;1;6;Luca Ranieri;19893
35;20;3;12;0;3;Lorenzo Venuti;19780
38;1;13;24;0;0;Aleksa Terzi;99999999
33;14;10;9;1;4;Riccardo Sottil;14066
31;8;15;8;4;2;Sofyan Amrabat;9927
5;0;0;5;0;0;Alessandro Bianco;99999999
1;0;0;1;0;0;Vittorio Agostinelli;99999999
19;7;10;2;0;0;Jonathan Ikon;99999999
36;13;16;7;0;2;Riccardo Saponara;9016
25;7;0;18;1;12;Bartlomiej Dragowski;99999999
28;0;0;28;0;0;Antonio Rosati;99999999
38;23;7;8;0;0;Igor;23754
30;18;7;5;1;5;lvaro Odriozola;11358
12;4;2;6;1;9;Erick Pulgar;99999999
32;28;3;1;2;4;Giacomo Bonaventura;3879
25;16;7;2;0;12;Gaetano Castrovilli;19825
1;0;0;1;0;0;Eljon Toci;99999999
3;0;0;3;0;0;Destiny Egharevba;99999999
38;16;14;8;0;0;Jos  Callej n;5422
34;26;7;1;1;3;Nicol s Gonz lez;19061
36;34;0;2;2;0;Nikola Milenkovi;11816
16;8;6;2;0;0;Arthur Cabral;99999999
37;31;1;5;0;1;Pietro Terracciano;99999999
18;9;5;4;0;0;Krzysztof Piatek;99999999
38;21;12;5;0;0;Alfred Duncan;587
2;0;1;1;0;0;Filippo Distefano;99999999
7;0;0;7;0;10;Michele Cerofolini;99999999
4;0;0;4;0;0;Filippo Frison;99999999
37;11;17;9;1;0;Youssef Maleh;27653
11;0;0;11;0;5;Louis Munteanu;99999999
35;16;4;15;1;2;Lucas Mart nez Quarta;24949
36;33;3;0;0;1;Dusan Vlahovic;14068
33;4;14;15;0;4;Marco Benassi;99999999
29;2;3;24;0;7;Matija Nastasi;99999999
37;37;0;0;1;0;Cristiano Biraghi;2067
27;0;6;21;0;10;Aleksandr Kokorin;99999999
27;14;12;1;0;9;Junior Messias;27565
31;25;6;0;4;3;Franck Kessi;11498
4;0;0;4;0;3;Marko Lazetic;99999999
38;21;7;10;0;0;Pierre Kalulu;24786
2;0;0;2;0;19;Alessandro Plizzari;99999999
4;0;1;3;0;0;Luca Stanga;99999999
32;5;5;22;5;1;Fod  Ballo Tour;99999999
37;31;5;1;0;0;Sandro Tonali;19844
35;24;9;2;2;1;Tommaso Pobega;27618
28;12;12;4;0;10;Alessandro Florenzi;456
38;22;14;2;0;0;Alexis Saelemaekers;14543
30;22;7;1;0;8;Olivier Giroud;8206
13;10;1;2;0;25;Simon Kjaer;99999999
31;15;16;0;4;3;Isma l Bennacer;14125
2;0;0;2;0;0;Lapo Nava;99999999
29;0;0;29;0;1;Antonio Mirante;99999999
35;25;6;4;0;3;Brahim D az;11592
25;11;12;2;0;13;Zlatan Ibrahimovi;11122
36;6;0;30;0;2;Ciprian Tatarusanu;99999999
1;0;0;1;0;0;Enrico Di Ges;99999999
29;16;3;10;1;8;Alessio Romagnoli;480
22;1;4;17;0;11;Samu Castillejo;99999999
35;31;3;1;0;3;Rafael Le o;12840
24;2;13;9;0;12;Pietro Pellegri;99999999
32;32;0;0;0;6;Mike Maignan;99999999
36;6;2;28;0;1;Matteo Gabbia;99999999
29;5;9;15;0;7;Tiemou  Bakayoko;99999999
8;0;0;8;0;0;Andreas Jungdal;99999999
33;15;13;5;0;5;Rade Krunic;8772
26;6;18;2;0;12;Ante Rebic;99999999
27;24;2;1;0;11;Davide Calabria;2524
32;30;1;1;0;6;Fikayo Tomori;18779
1;0;0;1;0;0;Sebastiano Desplanches;99999999
30;2;6;22;0;2;Daniel Maldini;99999999
32;30;2;0;3;3;Theo Hern ndez;11606
25;2;6;17;0;4;Andrea Conti;99999999
34;33;0;1;4;0;Gianluca Mancini;11626
29;3;6;20;0;9;Riccardo Calafiori;99999999
35;13;4;18;1;0;Marash Kumbulla;19701
23;0;0;23;0;1;Pietro Boer;99999999
16;1;4;11;0;1;Borja Mayoral;99999999
34;9;7;18;0;0;Nicola Zalewski;99999999
36;32;4;0;2;0;Rick Karsdorp;9045
38;38;0;0;0;0;Rui Patr cio;99999999
2;0;0;2;0;0;Filippo Missori;99999999
29;2;2;25;4;0;Amadou Diawara;99999999
35;3;16;16;0;3;Carles P rez;99999999
30;23;4;3;0;8;Chris Smalling;1806
12;0;0;12;0;3;Gonzalo Villar;99999999
2;0;0;2;0;0;Maissa Ndiaye;99999999
32;0;11;21;0;0;Edoardo Bove;99999999
22;1;0;21;3;1;Ebrima Darboe;99999999
7;0;0;7;0;0;Filippo Tripi;99999999
28;27;1;0;2;7;Lorenzo Pellegrini;6290
30;23;5;2;4;4;Nicol  Zaniolo;12764
18;7;1;10;0;0;Ainsley Maitland Niles;99999999
37;36;1;0;1;0;Tammy Abraham;11745
25;6;11;8;1;4;Felix Afena Gyan;99999999
35;32;2;1;1;2;Roger Iba ez;24050
34;18;8;8;0;4;Mat as Vi a;32424
32;29;2;1;1;5;Henrikh Mkhitaryan;4287
15;13;1;1;1;1;S rgio Oliveira;99999999
31;8;19;4;0;7;Stephan El Shaarawy;10015
8;0;3;5;0;0;Cristian Volpato;99999999
7;0;1;6;0;0;Dimitrios Keramitsis;99999999
36;26;10;0;1;1;Jordan Veretout;5324
11;0;1;10;0;0;Bryan Reynolds;99999999
7;2;1;4;0;31;Leonardo Spinazzola;99999999
1;0;0;1;0;0;Jan Oliveras;99999999
37;5;23;9;0;1;Eldor Shomurodov;99999999
35;0;0;35;1;2;Daniel Fuzato;99999999
34;29;5;0;1;3;Bryan Cristante;1537
3;0;0;3;0;0;Davide Mastrantonio;99999999
21;16;4;1;2;15;Rafael Tol i;8812
16;0;5;11;0;0;Valentin Mihaila;99999999
7;0;3;4;0;0;Moustapha Ciss;99999999
35;30;4;1;1;2;Jos  Luis Palomino;5414
36;0;1;35;0;0;Francesco Rossi;99999999
32;25;6;1;1;5;Berat Djimsiti;1317
27;3;14;10;0;10;Roberto Piccoli;99999999
1;0;0;1;0;0;Samuel Giovane;99999999
34;28;1;5;2;2;Remo Freuler;8919
34;22;6;6;1;3;Merih Demiral;15046
1;0;0;1;0;0;Jacopo Da Riva;99999999
23;16;5;2;0;14;Hans Hateboer;4197
34;6;18;10;0;4;Bosko Sutalo;16623
17;5;8;4;0;21;Robin Gosens;99999999
33;7;12;14;0;5;Aleksey Miranchuk;99999999
3;0;1;2;0;0;Tommaso De Nipoti;99999999
2;0;0;2;0;0;Jacopo Sassi;99999999
32;9;9;14;0;1;Giorgio Scalvini;99999999
4;0;0;4;0;0;Andrea Oliveri;99999999
32;10;11;11;0;6;Giuseppe Pezzella;3972
1;0;0;1;0;4;Guillaume Renault;99999999
31;19;11;1;2;5;Ruslan Malinovskyi;12549
11;0;2;9;0;5;Giorgio Cittadini;99999999
32;17;5;10;1;5;Matteo Lovato;26389
37;33;0;4;1;0;Juan Musso;99999999
1;0;0;1;0;0;Matevz Dajcar;99999999
21;8;12;1;0;17;Josip Ilicic;99999999
1;0;0;1;0;0;Enrico Del Prato;99999999
1;0;1;0;0;0;Alassane Sidibe;99999999
37;24;13;0;0;1;Mario Pasalic;6901
35;29;5;1;1;1;Davide Zappacosta;2541
1;0;0;1;0;0;Tommaso Bertini;99999999
37;5;0;32;0;1;Marco Sportiello;99999999
32;15;11;6;0;6;Joakim Maehle;14570
34;23;7;4;0;2;Teun Koopmeiners;14315
31;28;2;1;6;1;Marten de Roon;7017
34;18;9;7;0;4;Matteo Pessina;14074
2;0;0;2;0;0;Simone Panada;99999999
27;15;12;0;4;7;J r mie Boga;4920
2;0;0;2;0;0;Federico Zuccon;99999999
2;0;2;0;0;0;Sam Lammers;99999999
31;17;10;4;0;0;Luis Muriel;6439
26;20;4;2;0;12;Duv n Zapata;2895
14;9;5;0;2;1;Mart n C ceres;99999999
1;0;0;1;0;0;Eugenio Fusco;99999999
37;37;0;0;1;0;Jo o Pedro;5078
6;0;2;4;0;0;Christos Kourfalidis;99999999
1;0;0;1;0;0;Isa as Delpupo;99999999
37;3;0;34;1;0;Boris Radunovi;99999999
2;0;0;2;0;0;Jacopo Desogus;99999999
11;0;1;10;0;20;Damir Ceter;99999999
11;9;2;0;1;7;Diego God n;99999999
35;35;0;0;1;2;Alessio Cragno;99999999
1;0;0;1;0;0;Luigi Palomba;99999999
23;3;3;17;0;2;Adam Obert;99999999
8;2;6;0;0;30;Marko Rog;99999999
38;9;20;9;0;0;Gast n Pereiro;3779
4;0;0;4;0;19;Riccardo Ladinetti;99999999
37;32;4;1;1;0;Giovanni Simeone;11289
8;0;1;7;0;4;Luca Gagliano;99999999
16;7;3;6;0;22;Kevin Strootman;99999999
30;27;1;2;1;7;Dalbert;2103
37;17;2;18;0;1;Giorgio Altare;63460
36;26;4;6;1;1;Alberto Grassi;375
1;0;0;1;0;0;Lisandru Tramoni;99999999
28;11;1;16;0;8;Edoardo Goldaniga;2948
32;17;5;10;1;5;Matteo Lovato;26389
31;16;8;7;0;7;Luca Ceppitelli;6323
35;27;4;4;0;1;Raoul Bellanova;23118
4;0;0;4;0;0;Nicol  Cavuoti;99999999
3;0;0;3;0;0;Zito Luvumbo;99999999
21;16;5;0;0;17;Nahitan N ndez;11911
9;0;4;5;0;2;Diego Farias;99999999
14;4;3;7;0;24;Sebastian Walukiewicz;99999999
36;11;14;11;1;1;Gabriele Zappa;22194
35;14;19;2;1;2;Leonardo Pavoletti;6173
29;14;12;3;5;2;Keita Bald;1171
3;0;0;3;0;0;Iurie Iovu;99999999
36;0;0;36;0;1;Simone Aresti;99999999
36;28;5;3;1;1;Alessandro Deiola;19037
30;2;13;15;0;2;Daniele Baselli;99999999
2;0;0;2;0;0;Eldin Lolic;99999999
3;0;1;2;0;17;Paolo Farag;99999999
1;0;0;1;0;0;Andrea D Aniello;99999999
18;0;4;14;1;3;Christian Oliva;99999999
37;21;7;9;0;1;Charalampos Lykogiannis;11654
37;25;5;7;1;0;Andrea Carboni;24671
36;31;5;0;1;1;Razvan Marin;13057
30;14;8;8;1;7;Kevin Bonifazi;14189
37;7;8;22;0;0;Luis Binks;99999999
3;1;1;1;0;32;Kingsley Michael;99999999
29;23;5;1;1;8;Nicol s Dom nguez;24688
36;34;2;0;1;1;Aaron Hickey;25002
37;21;8;8;0;1;Riccardo Orsolini;14048
