id,Giocatore,Anno,Età,Ruolo,Minuti,Tiri,Tiri in porta,Tiri da area,Tiri da area piccola,Tiri fuori area,Tiri di testa,Tiri di rigore,Gol,Gol da area,Gol da area piccola,Gol fuori area,Gol di testa,Gol di piede,Gol su PI,Gol su Pun. Centrale,Gol su Pun. Laterale,Gol su Corner,Gol su Rimessa,Gol su rigore,Gol su sviluppo rigore,Gol su Pun. Diretta,Gol su sviluppo Pun. Diretta,Precisione,Precisione da area,Precisione da fuori area,Tiri su Occasione Gol,Tiri su Promettente,Passaggi Chiave,Passaggi Chiave in area,Passaggi Chiave ricevuti,Passaggi Chiave ricevuti in area,Assist,Assist Vincenti,Assist in area,Assist Vincenti in area,Third pass,Third pass vincenti,Gol procurati,Assist V + Third pass V,Assist V + Third pass V + Gol procurati,Triangolazioni,Triangolazioni fatte,Triangolazioni chiuse,Passaggi,Passaggi ricevuti,Palle Laterali,Cross,Cross riusciti,Cross vincenti,Traversoni,Traversoni riusciti,Traversoni vincenti,Cut Back,Cut Back riusciti,Cut Back vincenti,Perde palla,Propria metà campo,Recupera palla,Metà campo avversaria,Dribbling,Dribbling vincenti,Dribbling subiti,Dribbling perdenti subiti,Duelli,Duelli di gioco,Duelli vinti,Duelli nella metà campo offensiva,Duelli vinti nella metà campo offensiva,Duelli aerei,Duelli aerei vinti,Duelli tackle,Duelli tackle vinti,Interventi decisivi +,Interventi decisivi -,Reti subite squadra,Falli fatti,Falli subiti,In Fuorigioco,Ammonizioni,Espulsioni,Doppie Ammonizioni,Parate,Gol subiti,Uscite,Tiri in porta subiti,Rigori,Rigori parati,Interventi decisivi +2,Interventi decisivi -3,Passaggi portiere,Passaggi portiere +,Lanci,Lanci +,% Realizzazione,Realizzazione da area,Realizzazione da fuori area,Realizzazione su rigore,Realizzazione su Occasione Gol,Realizzazione su Promettente,lanci/passaggi portiere ricevuti,lanci/passaggi portiere ricevuti campo off.,% Passaggi riusciti,% Cross riusciti,% Cross vincenti,% Traversoni riusciti,% Traversoni vincenti,% Cut Back riusciti,% Cut Back vincenti,H media recupera palla (no P),% dribbling vincenti,% dribbling perdenti subiti,% duelli vinti,% duelli vinti nella metà campo offensiva,% duelli arei vinti,% duelli tackle vinti,Minuti giocati / gol subiti,H media falli (m),% parate su tiri in porta subiti,% passaggi +,% passaggi su gioco portiere,% lanci +,% lanci su gioco portiere
5563.0,FERRARI A.,1994.0,28.0,D,1731.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,0.0,36.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,800.0,565.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,20.0,147.0,28.0,14.0,9.0,46.0,23.0,299.0,276.0,187.0,61.0,30.0,54.0,34.0,136.0,98.0,2.0,1.0,27.0,27.0,23.0,0.0,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,,100.0,,1.9130434782608696,0.0,81.86086956521739,10.0,0.0,,,,,31.728571428571428,63.63636363636363,49.44285714285714,62.0304347826087,52.42,59.311764705882354,66.01363636363637,49.866,46.71666666666667,,,,,
5586.0,BESSA D.,1993.0,29.0,C,856.0,8.0,3.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,100.0,200.0,0.0,0.0,36.0,8.0,26.0,4.0,10.0,1.0,3.0,1.0,3.0,2.0,0.0,3.0,3.0,19.0,13.0,6.0,476.0,417.0,10.0,5.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,59.0,15.0,39.0,10.0,30.0,20.0,24.0,19.0,168.0,154.0,77.0,85.0,38.0,24.0,10.0,55.0,28.0,1.0,0.0,16.0,21.0,14.0,1.0,5.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.285714285714286,0.0,20.0,,,,0.08333333333333333,0.0,79.1125,0.0,0.0,33.333333333333336,0.0,50.0,0.0,40.6375,63.67272727272727,80.55833333333334,46.163636363636364,39.13157894736842,41.07142857142857,50.46875,38.21181818181818,52.028571428571425,,,,,
5590.0,GYOMBER N.,1992.0,30.0,D,2758.0,5.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,200.0,0.0,1.0,1.0,66.0,3.0,8.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1080.0,678.0,15.0,12.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,111.0,36.0,216.0,44.0,11.0,8.0,86.0,34.0,365.0,351.0,229.0,83.0,48.0,93.0,73.0,116.0,82.0,4.0,2.0,51.0,46.0,14.0,0.0,9.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.7741935483870968,0.0,78.81935483870969,9.090909090909092,0.0,0.0,0.0,0.0,0.0,30.453333333333333,80.95714285714287,45.611111111111114,63.332258064516125,60.17857142857143,82.92142857142858,71.63461538461539,65.82407407407408,51.43043478260869,,,,,
5605.0,ESCALANTE G.,1993.0,29.0,C,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,75.0,,,,,,,,,50.0,33.3,0.0,,0.0,,,,,,,
5628.0,MANCUSO L.,1992.0,30.0,A,445.0,9.0,7.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,300.0,200.0,3.0,1.0,5.0,3.0,22.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,69.0,87.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,8.0,3.0,3.0,1.0,9.0,6.0,55.0,53.0,16.0,40.0,11.0,15.0,2.0,24.0,8.0,0.0,0.0,9.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,12.5,0.0,,33.333333333333336,0.0,0.375,0.375,75.22857142857143,12.5,0.0,,,,,48.21666666666667,25.0,66.66,28.7,24.714285714285715,25.0,27.28333333333333,43.266,53.849999999999994,,,,,
5656.0,DEZI J.,1992.0,30.0,C,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,7.0,7.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,84.6,100.0,0.0,,,,,56.6,50.0,100.0,42.9,33.3,100.0,33.3,,,,,,,
5664.0,TORREGROSSA E.,1992.0,30.0,A,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,41.0,62.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,5.0,2.0,2.0,2.0,40.0,33.0,18.0,32.0,15.0,11.0,4.0,11.0,5.0,0.0,0.0,3.0,6.0,7.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.3,0.2,72.66666666666667,50.0,0.0,,,,,,33.333333333333336,100.0,47.160000000000004,46.54,50.0,30.566666666666666,24.666666666666668,85.76666666666667,,,,,
5699.0,CECCHERINI F.,1992.0,30.0,D,2490.0,10.0,2.0,9.0,4.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,1.0,2.0,69.0,5.0,11.0,7.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,2.0,1204.0,874.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,117.0,34.0,225.0,43.0,30.0,19.0,56.0,33.0,472.0,447.0,253.0,136.0,67.0,135.0,75.0,172.0,111.0,2.0,0.0,41.0,56.0,25.0,3.0,12.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,12.5,0.0,,100.0,0.0,0.8235294117647058,0.029411764705882353,83.99117647058823,20.0,0.0,,,0.0,0.0,34.65,62.877272727272725,50.51538461538462,50.411764705882355,46.984375,56.75,65.696875,58.94035714285714,49.52068965517241,,,,,
5770.0,PINSOGLIO C.,1990.0,32.0,P,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,7.0,3.0,3.0,,,,,,,0.0,0.0,100.0,,,,,,,,,,,,,,48.0,,50.0,100.0,70.0,100.0,30.0
5789.0,SCHIAVONE A.,1993.0,29.0,C,624.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.0,0.0,23.0,8.0,6.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,240.0,157.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,34.0,7.0,3.0,1.0,30.0,19.0,75.0,70.0,33.0,20.0,6.0,6.0,3.0,21.0,13.0,0.0,0.0,18.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,,,100.0,,0.07142857142857142,0.0,81.76923076923077,0.0,0.0,0.0,0.0,,,37.96153846153846,25.0,62.92,48.3,32.0,50.0,58.57142857142857,34.333,48.76666666666667,,,,,
