Player ID,Player,Position,Position Group,Minutes Played,Minutes Played TIP,Minutes Played OTIP,Player ID,Distance,Running Distance,HSR Distance,Sprinting Distance,HI Distance,Count HSR,Count Sprint,Count HI,Count Medium Acceleration,Count High Acceleration,Count Medium Deceleration,Count High Deceleration,PSV-99,Distance TIP,Running Distance TIP,HSR Distance TIP,Sprinting Distance TIP,HI Distance TIP,Count HSR TIP,Count Sprint TIP,Count HI TIP,Count Medium Acceleration TIP,Count High Acceleration TIP,Count Medium Deceleration TIP,Count High Deceleration TIP,Distance OTIP,Running Distance OTIP,HSR Distance OTIP,Sprinting Distance OTIP,HI Distance OTIP,Count HSR OTIP,Count Sprint OTIP,Count HI OTIP,Count Medium Acceleration OTIP,Count High Acceleration OTIP,Count Medium Deceleration OTIP,Count High Deceleration OTIP,M/min,M/min TIP,M/min OTIP
95,Aaron Ramsey,LM,Midfield,109.22,31.14,32.980000000000004,285,13425.0,2392.0,609.0,162.0,771.0,50.0,8.0,58.0,120.0,7.0,107.0,22.0,80.4,4582.0,898.0,195.0,50.0,245.0,19.0,2.0,21.0,36.0,2.0,27.0,3.0,5638.0,1300.0,339.0,112.0,451.0,24.0,4.0,28.0,48.0,2.0,40.0,8.0,122.91704815967772,147.14193962748877,170.952092177077
128,Abdoulaye Toure,RM,Midfield,464.27,124.50999999999999,152.85,1024,56083.0,10571.0,3323.0,673.0,3996.0,261.0,36.0,297.0,502.0,25.0,464.0,101.0,217.5,17538.0,3663.0,901.0,170.0,1071.0,77.0,9.0,86.0,124.0,8.0,106.0,12.0,24359.0,6150.0,2206.0,444.0,2650.0,168.0,21.0,189.0,227.0,10.0,179.0,34.0,120.79824240205053,140.8561561320376,159.3653909061171
196,Adam Marusic,RWB,Full Back,2928.12,965.7,876.08,6468,331023.0,43934.0,19193.0,7929.0,27122.0,1657.0,406.0,2063.0,3013.0,215.0,2612.0,642.0,977.8,121750.0,16072.0,6800.0,3382.0,10182.0,596.0,154.0,750.0,933.0,54.0,747.0,142.0,127316.0,24047.0,11312.0,3880.0,15192.0,924.0,203.0,1127.0,1341.0,70.0,878.0,193.0,113.0496700954879,126.07435021228125,145.32462788786412
203,Adam Ounas,CF,Forward,385.61,130.27,95.28,2842,43518.0,5950.0,2633.0,1130.0,3763.0,231.0,45.0,276.0,410.0,25.0,324.0,62.0,414.0,17818.0,2882.0,1347.0,766.0,2113.0,111.0,27.0,138.0,162.0,10.0,112.0,15.0,13744.0,2632.0,1082.0,245.0,1327.0,94.0,11.0,105.0,111.0,7.0,84.0,15.0,112.85495708098856,136.77746219390497,144.24853064651552
217,Adama Soumaoro,RCB,Central Defender,2253.62,657.9,685.7,5642,229316.0,26374.0,8806.0,2474.0,11280.0,720.0,120.0,840.0,2024.0,129.0,1752.0,314.0,728.1,73382.0,7323.0,1752.0,506.0,2258.0,141.0,19.0,160.0,559.0,9.0,485.0,53.0,92900.0,16216.0,6240.0,1601.0,7841.0,492.0,74.0,566.0,975.0,42.0,655.0,89.0,101.7545105208509,111.53974768201854,135.4819892081085
277,Adrien Rabiot,LM,Midfield,2334.84,717.36,698.01,8587,283753.0,48148.0,20112.0,7446.0,27558.0,1615.0,382.0,1997.0,2625.0,153.0,2368.0,505.0,910.5,104856.0,19744.0,8827.0,3620.0,12447.0,694.0,173.0,867.0,896.0,34.0,646.0,100.0,109494.0,24605.0,9864.0,3089.0,12953.0,780.0,149.0,929.0,1009.0,56.0,766.0,155.0,121.52995494337941,146.16928738708597,156.86594747926247
280,Adrien Silva,LM,Midfield,1156.84,331.73,349.78999999999996,4760,141894.0,25701.0,7373.0,1497.0,8870.0,580.0,67.0,647.0,1262.0,50.0,1103.0,165.0,450.2,49391.0,10074.0,2322.0,382.0,2704.0,184.0,19.0,203.0,369.0,9.0,278.0,27.0,56620.0,13394.0,4457.0,898.0,5355.0,342.0,38.0,380.0,511.0,16.0,365.0,52.0,122.6565471456727,148.88915684442165,161.86854970124935
375,Alberto Grassi,DM,Midfield,2328.05,634.68,732.37,11250,294121.0,53390.0,16076.0,3551.0,19627.0,1317.0,180.0,1497.0,2432.0,111.0,2342.0,369.0,817.1,96510.0,19462.0,5014.0,1006.0,6020.0,436.0,48.0,484.0,705.0,25.0,572.0,62.0,119759.0,29338.0,10048.0,2161.0,12209.0,796.0,101.0,897.0,958.0,34.0,802.0,118.0,126.33792229548334,152.06088107392702,163.52253642284637
392,Albin Ekdal,LM,Midfield,1732.18,487.83,530.67,10192,209356.0,32916.0,9205.0,1719.0,10924.0,802.0,80.0,882.0,1741.0,87.0,1591.0,300.0,691.3,70289.0,11220.0,2659.0,390.0,3049.0,237.0,20.0,257.0,486.0,16.0,390.0,57.0,85111.0,19263.0,5894.0,1158.0,7052.0,507.0,54.0,561.0,739.0,32.0,562.0,86.0,120.86272789202046,144.08502962097452,160.38404281380144
420,Aleksandar Kolarov,LCB,Central Defender,45.79,17.52,13.51,1260,5217.0,768.0,186.0,67.0,253.0,16.0,2.0,18.0,44.0,0.0,40.0,4.0,81.1,2424.0,402.0,74.0,29.0,103.0,5.0,1.0,6.0,16.0,0.0,17.0,1.0,1924.0,313.0,111.0,37.0,148.0,11.0,1.0,12.0,19.0,0.0,7.0,1.0,113.93317318191745,138.35616438356163,142.41302738712065
