Player,Team,Match,Competition,Position,Position Group,Season,Minutes Played,Minutes Played TIP,Minutes Played OTIP,Player ID,Birthdate,Date,Physicals Quality Check,Distance,M/min,Running Distance,HSR Distance,Sprinting Distance,HI Distance,Count HSR,Count Sprint,Count HI,Count Medium Acceleration,Count High Acceleration,Count Medium Deceleration,Count High Deceleration,PSV-99,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,Sprinting Distance TIP,HI Distance TIP,Count HSR TIP,Count Sprint TIP,Count HI TIP,Count Medium Acceleration TIP,Count High Acceleration TIP,Count Medium Deceleration TIP,Count High Deceleration TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,Sprinting Distance OTIP,HI Distance OTIP,Count HSR OTIP,Count Sprint OTIP,Count HI OTIP,Count Medium Acceleration OTIP,Count High Acceleration OTIP,Count Medium Deceleration OTIP,Count High Deceleration OTIP,matchday
Miguel Veloso,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,LM,Midfield,2021/2022,46.82,13.35,11.07,7578,1986-05-11,2021-08-21,Passed,5526.0,118.03,957.0,340.0,36.0,376.0,27.0,3.0,30.0,47.0,2.0,36.0,5.0,26.8,1914.0,143.37,398.0,90.0,0.0,90.0,6.0,0.0,6.0,18.0,1.0,13.0,1.0,1866.0,168.56,471.0,218.0,35.0,253.0,18.0,2.0,20.0,14.0,1.0,9.0,2.0,1
Rogerio,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,LWB,Full Back,2021/2022,102.89,32.83,25.6,9212,1998-01-13,2021-08-21,Passed,10441.0,101.48,1131.0,400.0,171.0,571.0,38.0,8.0,46.0,92.0,8.0,85.0,22.0,30.5,3866.0,117.76,478.0,161.0,94.0,255.0,16.0,4.0,20.0,33.0,3.0,31.0,6.0,3393.0,132.54,581.0,217.0,60.0,277.0,20.0,3.0,23.0,38.0,3.0,25.0,4.0,1
Koray Gunter,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,CB,Central Defender,2021/2022,102.89,25.6,32.83,14152,1994-08-16,2021-08-21,Passed,9952.0,96.72,918.0,420.0,95.0,515.0,32.0,6.0,38.0,90.0,11.0,65.0,18.0,28.9,2810.0,109.77,285.0,102.0,18.0,120.0,7.0,1.0,8.0,20.0,1.0,15.0,3.0,4041.0,123.09,491.0,267.0,73.0,340.0,19.0,4.0,23.0,46.0,4.0,31.0,5.0,1
Vlad Chiriches,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RCB,Central Defender,2021/2022,95.67,30.32,23.05,10756,1989-11-14,2021-08-21,Passed,9168.0,95.83,1076.0,492.0,223.0,715.0,36.0,14.0,50.0,89.0,9.0,74.0,18.0,29.7,3193.0,105.31,367.0,104.0,40.0,144.0,9.0,2.0,11.0,28.0,1.0,27.0,3.0,3156.0,136.92,565.0,327.0,147.0,474.0,22.0,9.0,31.0,38.0,3.0,21.0,4.0,1
Federico Ceccherini,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,LCB,Central Defender,2021/2022,59.92,16.25,16.77,3335,1992-05-11,2021-08-21,Passed,6517.0,108.76,930.0,269.0,45.0,314.0,26.0,2.0,28.0,62.0,3.0,45.0,5.0,26.6,2168.0,133.42,344.0,103.0,21.0,124.0,8.0,1.0,9.0,17.0,0.0,13.0,1.0,2234.0,133.21,382.0,122.0,15.0,137.0,11.0,1.0,12.0,29.0,1.0,12.0,1.0,1
Nikola Kalinic,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,CF,Forward,2021/2022,50.29,14.23,12.0,8074,1988-01-05,2021-08-21,Passed,4630.0,92.07,381.0,235.0,130.0,365.0,20.0,9.0,29.0,47.0,5.0,29.0,11.0,29.1,1765.0,124.03,290.0,169.0,74.0,243.0,17.0,6.0,23.0,23.0,2.0,10.0,4.0,1330.0,110.83,91.0,40.0,46.0,86.0,2.0,2.0,4.0,9.0,1.0,8.0,1.0,1
Giacomo Raspadori,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,AM,Midfield,2021/2022,71.87,22.33,19.03,14168,2000-02-18,2021-08-21,Passed,8510.0,118.41,1225.0,547.0,123.0,670.0,44.0,7.0,51.0,60.0,6.0,60.0,13.0,29.2,3260.0,145.99,657.0,282.0,70.0,352.0,22.0,3.0,25.0,23.0,1.0,14.0,4.0,2705.0,142.14,486.0,218.0,35.0,253.0,20.0,2.0,22.0,19.0,1.0,18.0,3.0,1
Gian Marco Ferrari,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,LCB,Central Defender,2021/2022,102.89,32.83,25.6,14171,1992-02-15,2021-08-21,Passed,9931.0,96.52,988.0,261.0,65.0,326.0,25.0,4.0,29.0,83.0,6.0,66.0,13.0,27.4,3521.0,107.25,254.0,42.0,13.0,55.0,4.0,1.0,5.0,23.0,0.0,27.0,3.0,3318.0,129.61,593.0,190.0,42.0,232.0,18.0,3.0,21.0,39.0,3.0,19.0,3.0,1
Martin Hongla,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,RM,Midfield,2021/2022,59.92,16.25,16.77,26622,1998-03-16,2021-08-21,Passed,6706.0,111.92,1041.0,252.0,52.0,304.0,20.0,2.0,22.0,55.0,5.0,52.0,6.0,28.0,2108.0,129.72,378.0,57.0,13.0,70.0,5.0,1.0,6.0,15.0,1.0,12.0,1.0,2623.0,156.41,578.0,189.0,31.0,220.0,13.0,1.0,14.0,18.0,2.0,19.0,2.0,1
Maxime Lopez,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,LM,Midfield,2021/2022,102.89,32.83,25.6,11170,1997-12-04,2021-08-21,Passed,11208.0,108.93,1565.0,368.0,35.0,403.0,31.0,2.0,33.0,104.0,7.0,85.0,13.0,25.1,4377.0,133.32,732.0,156.0,17.0,173.0,15.0,1.0,16.0,41.0,3.0,36.0,4.0,3660.0,142.97,745.0,177.0,17.0,194.0,14.0,1.0,15.0,36.0,1.0,20.0,2.0,1
Mattia Zaccagni,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,AM,Midfield,2021/2022,102.89,25.6,32.83,19698,1995-06-16,2021-08-21,Passed,10824.0,105.2,1438.0,608.0,353.0,961.0,47.0,16.0,63.0,87.0,7.0,74.0,20.0,30.9,3519.0,137.46,644.0,298.0,235.0,533.0,19.0,11.0,30.0,25.0,2.0,19.0,3.0,4090.0,124.58,712.0,245.0,76.0,321.0,23.0,2.0,25.0,38.0,3.0,29.0,6.0,1
Nicolò Casale,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,RWB,Full Back,2021/2022,78.62,19.68,23.55,27654,1998-02-14,2021-08-21,Passed,7982.0,101.53,871.0,369.0,178.0,547.0,27.0,10.0,37.0,71.0,7.0,53.0,20.0,32.4,2330.0,118.39,259.0,126.0,78.0,204.0,10.0,4.0,14.0,17.0,1.0,13.0,4.0,2973.0,126.24,460.0,180.0,72.0,252.0,14.0,4.0,18.0,34.0,1.0,16.0,6.0,1
Jeremie Boga,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,LW,Winger,2021/2022,102.89,32.83,25.6,4920,1997-01-03,2021-08-21,Passed,10266.0,99.78,1178.0,453.0,111.0,564.0,49.0,7.0,56.0,90.0,18.0,69.0,15.0,28.8,3875.0,118.03,575.0,248.0,69.0,317.0,26.0,4.0,30.0,43.0,6.0,25.0,4.0,3201.0,125.04,517.0,185.0,40.0,225.0,19.0,2.0,21.0,30.0,5.0,21.0,5.0,1
Darko Lazovic,Hellas Verona,Hellas Verona v Sassuolo,ITA - Serie A,LWB,Full Back,2021/2022,102.89,25.6,32.83,2361,1990-09-15,2021-08-21,Passed,11022.0,107.12,1470.0,756.0,500.0,1256.0,67.0,15.0,82.0,91.0,9.0,85.0,25.0,31.7,3323.0,129.8,532.0,313.0,394.0,707.0,27.0,9.0,36.0,22.0,3.0,22.0,6.0,4435.0,135.09,791.0,362.0,89.0,451.0,33.0,5.0,38.0,46.0,4.0,32.0,6.0,1
Davide Frattesi,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RM,Midfield,2021/2022,88.84,28.23,21.88,19731,1999-09-22,2021-08-21,Passed,9316.0,104.86,1199.0,412.0,213.0,625.0,32.0,11.0,43.0,83.0,8.0,74.0,19.0,31.2,3445.0,122.03,528.0,166.0,57.0,223.0,16.0,4.0,20.0,33.0,2.0,25.0,4.0,3064.0,140.04,590.0,214.0,129.0,343.0,15.0,5.0,20.0,24.0,2.0,19.0,4.0,1
Jeremy Toljan,Sassuolo,Hellas Verona v Sassuolo,ITA - Serie A,RWB,Full Back,2021/2022,102.89,32.83,25.6,4943,1994-08-08,2021-08-21,Passed,10601.0,103.03,1339.0,664.0,497.0,1161.0,54.0,20.0,74.0,101.0,8.0,82.0,24.0,32.3,3804.0,115.87,473.0,207.0,191.0,398.0,17.0,9.0,26.0,36.0,2.0,25.0,6.0,3739.0,146.05,743.0,384.0,260.0,644.0,30.0,9.0,39.0,41.0,4.0,24.0,7.0,1
