opta_id,full_name,birth_date,country,soccRole,position,team,games,mins_played,touches,xG,npxG,opxG,opshots,opgoals,goals,xA,opxA,xOVA,xA_received,xT,xT_pass,xT_carry,xT_from_passes_received,xg_blocked,xg_against_team
7485,Gianluca Pegolo,1981-03-25,Italy,GK,Goalkeeper,Sassuolo,1,90,37.0,,0.0,0.0,0.0,0.0,0.0,0.0024258,0.0018845,0.0005677,0.0013167,0.0099207,0.0105095,-0.0005888,-0.0240447,0.5150091,1.3077238
8432,Pepe Reina,1982-08-31,Spain,GK,Goalkeeper,Lazio,15,1350,581.0,,0.0,0.0,0.0,0.0,0.0,0.0925996,0.0746207,0.0519621,0.0226341,0.4220379,0.3930025,0.0290354,-0.23424709999999999,3.0545222,22.4388363
9808,Zlatan Ibrahimovic,1981-10-03,Sweden,FW,Forward,Milan,23,1008,564.0,6.2524492,5.4707002000000005,4.8960398262,37.0,6.0,8.0,2.0122613,2.01137,1.7585548,5.4232554,0.7941231000000001,0.6358275,0.1582956,2.8481544,0.0924704,12.9181814
12473,Fabio Quagliarella,1983-01-31,Italy,FW,Forward,Sampdoria,33,1658,724.0,4.2591784,3.4774294,3.1082587456999997,47.0,3.0,4.0,1.83709,1.837037,1.9787015,3.3124604,0.6302698,0.5852175,0.045052299999999997,2.5025187,0.0331145,28.6872887
14715,Francesco Magnanelli,1984-11-12,Italy,DMC,Midfielder,Sassuolo,12,265,282.0,0.0404729,0.0404729,0.0142265419,1.0,0.0,0.0,0.127154,0.12471109999999999,0.1109826,0.054616700000000004,0.09910930000000001,0.09060259999999999,0.008506699999999999,-0.046261000000000004,0.089473,5.5861369000000005
14937,Cristiano Ronaldo,1985-02-05,Portugal,FW,Forward,Juventus,1,31,17.0,0.2364108,0.2364108,0.0,0.0,0.0,0.0,0.0281312,0.0281312,0.1616177,0.1031743,-0.0182404,-0.0175967,-0.0006437,-0.0075055,0.0,0.8354549
15061,Goran Pandev,1983-07-27,North Macedonia,FW,Forward,Genoa,20,835,381.0,0.46492140000000004,0.46492140000000004,0.4649213403,6.0,0.0,0.0,1.1868174,1.1868174,0.7606471,0.8930331,0.6278321,0.3496608,0.2781713,1.0963506,0.0219956,17.1985361
17985,Andrea Masiello,1986-02-05,Italy,CB,Defender,Genoa,7,517,375.0,0.0423517,0.0423517,0.0,0.0,0.0,0.0,0.0648025,0.06418109999999999,0.0764661,0.030604399999999997,0.1852694,0.2127656,-0.027496200000000002,-0.1102322,0.1412624,8.742721900000001
18102,Giorgio Chiellini,1984-08-14,Italy,CB,Defender,Juventus,21,1352,1141.0,0.9417582,0.9417582,0.0228554234,1.0,0.0,0.0,0.5117829,0.5031244,1.2373492000000001,0.2086576,1.2127144,0.9377944,0.27492,-0.4532808,0.8570067,14.4098275
18377,Daniele Padelli,1985-10-25,Italy,GK,Goalkeeper,Udinese,3,270,130.0,,0.0,0.0,0.0,0.0,0.0,0.010364499999999999,0.0098678,0.0063261,0.0035417,0.0678884,0.0630112,0.0048772,-0.029832,1.6807737,7.4341076
