,opta_id,game_id,team_id,opp_team_id,home_away,match_day,full_name,birth_date,country,soccRole,team,opponent_team,mins_played,touches,xG,npxG,opxG,goals,npgoals,opgoals,shots,npshots,opshots,xGoT,xA,opxA,xOVA,xT,xT_from_passes,xT_from_carries,xT_from_passes_received,xg_blocked,xg_against_team
0,85288,2228904,123,1025.0,h,1,Lukasz Skorupski,1991-05-05,Poland,GK,Bologna,Salernitana,90,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064968,0.0020388,0.0015733,0.0178618,0.0178618,0.0,-0.0101094,0.495167,1.5728133
1,472713,2228904,123,1025.0,h,1,Aaron Hickey,2002-06-10,Scotland,FB,Bologna,Salernitana,56,40.0,0.0301541,0.0301541,0.0301541,0.0,0.0,0.0,2.0,2.0,2.0,0.0101027,0.0054011,0.0052956,0.0206797,0.0410118,-0.0068193,0.0478311,0.0272335,0.073718,1.124023
2,21125,2228904,123,1025.0,h,1,Lorenzo De Silvestri,1988-05-23,Italy,FB,Bologna,Salernitana,90,96.0,0.6530723,0.6530723,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.6333184,0.0245478,0.023738,0.4104624,0.0971042,0.0596582,0.037446,-0.0344412,0.0,1.5728133
3,48853,2228904,123,1025.0,h,1,Gary Medel,1987-08-03,Chile,CB,Bologna,Salernitana,90,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144192,0.0141996,0.0092065,0.0954778,0.0754301,0.0200477,-0.0583849,0.0,1.5728133
4,175639,2228904,123,1025.0,h,1,Kevin Bonifazi,1996-05-19,Italy,CB,Bologna,Salernitana,90,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152715,0.0145755,0.0094419,0.1227465,0.0783822,0.0443643,-0.0171534,0.0,1.5728133
5,250199,2228904,123,1025.0,h,1,Nicolás Domínguez,1998-06-28,Argentina,CM,Bologna,Salernitana,86,72.0,0.2492073,0.2492073,0.1729075,0.0,0.0,0.0,4.0,4.0,3.0,0.0757185,0.1053378,0.1052762,0.1419164,0.1588837,0.1299511,0.0289326,0.0329518,0.0,1.5728133
6,230152,2228904,123,1025.0,h,1,Jerdy Schouten,1997-01-12,Netherlands,CM,Bologna,Salernitana,88,71.0,0.0280362,0.0280362,0.0280362,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1468661,0.146792,0.1507155,0.1359274,0.1353192,0.0006082,0.0201347,0.0,1.5728133
7,59920,2228904,123,1025.0,h,1,Roberto Soriano,1991-02-08,Italy,CAM,Bologna,Salernitana,50,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0809459,0.0809459,0.0426213,0.0639064,0.0598777,0.0040287,0.063138,0.0,0.342274
8,223966,2228904,123,1025.0,h,1,Riccardo Orsolini,1997-01-24,Italy,CAM,Bologna,Salernitana,85,56.0,0.1858911,0.1858911,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.2323915,0.0284919,0.0551991,0.0661155,0.0465987,0.0195168,0.0156745,0.0,1.5728133
9,442430,2228904,123,1025.0,h,1,Musa Barrow,1998-11-14,Gambia,CAM,Bologna,Salernitana,56,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165798,0.0164704,-0.000795,0.0081671,-0.0007412,0.0089083,0.0371928,0.0,1.124023
