;full_name;df_index;birth_date;country;soccRole;team;cluster;games;mins_played;touches;xG;npxG;opxG;goals;npgoals;opgoals;shots;npshots;opshots;xGoT;xA;opxA;xOVA;xT;xT_from_passes;xT_from_carries;xT_from_passes_received;xg_blocked;xg_against_team;id;Giocatore_x;Anno;Età;Ruolo;Minuti;Tiri;Tiri in porta;Tiri da area;Tiri da area piccola;Tiri fuori area;Tiri di testa;Tiri di rigore;Gol;Gol da area;Gol da area piccola;Gol fuori area;Gol di testa;Gol di piede;Gol su PI;Gol su Pun. Centrale;Gol su Pun. Laterale;Gol su Corner;Gol su Rimessa;Gol su rigore;Gol su sviluppo rigore;Gol su Pun. Diretta;Gol su sviluppo Pun. Diretta;Precisione;Precisione da area;Precisione da fuori area;Tiri su Occasione Gol;Tiri su Promettente;Passaggi Chiave;Passaggi Chiave in area;Passaggi Chiave ricevuti;Passaggi Chiave ricevuti in area;Assist;Assist Vincenti;Assist in area;Assist Vincenti in area;Third pass;Third pass vincenti;Gol procurati;Assist V + Third pass V;Assist V + Third pass V + Gol procurati;Triangolazioni;Triangolazioni fatte;Triangolazioni chiuse;Passaggi;Passaggi ricevuti;Palle Laterali;Cross;Cross riusciti;Cross vincenti;Traversoni;Traversoni riusciti;Traversoni vincenti;Cut Back;Cut Back riusciti;Cut Back vincenti;Perde palla;Propria metà campo;Recupera palla;Metà campo avversaria;Dribbling;Dribbling vincenti;Dribbling subiti;Dribbling perdenti subiti;Duelli;Duelli di gioco;Duelli vinti;Duelli nella metà campo offensiva;Duelli vinti nella metà campo offensiva;Duelli aerei;Duelli aerei vinti;Duelli tackle;Duelli tackle vinti;Interventi decisivi +;Interventi decisivi -;Reti subite squadra;Falli fatti;Falli subiti;In Fuorigioco;Ammonizioni;Espulsioni;Doppie Ammonizioni;Parate;Gol subiti;Uscite;Tiri in porta subiti;Rigori;Rigori parati;Interventi decisivi +2;Interventi decisivi -3;Passaggi portiere;Passaggi portiere +;Lanci;Lanci +;% Realizzazione;Realizzazione da area;Realizzazione da fuori area;Realizzazione su rigore;Realizzazione su Occasione Gol;Realizzazione su Promettente;lanci/passaggi portiere ricevuti;lanci/passaggi portiere ricevuti campo off.;% Passaggi riusciti;% Cross riusciti;% Cross vincenti;% Traversoni riusciti;% Traversoni vincenti;% Cut Back riusciti;% Cut Back vincenti;H media recupera palla (no P);% dribbling vincenti;% dribbling perdenti subiti;% duelli vinti;% duelli vinti nella metà campo offensiva;% duelli arei vinti;% duelli tackle vinti;Minuti giocati / gol subiti;H media falli (m);% parate su tiri in porta subiti;% passaggi +;% passaggi su gioco portiere;% lanci +;% lanci su gioco portiere;skill_id;Player ID;Player;Position_x;Position Group;Minutes Played;Minutes Played TIP;Minutes Played OTIP;Player ID.1;Distance;Running Distance;HSR Distance;Sprinting Distance;HI Distance;Count HSR;Count Sprint;Count HI;Count Medium Acceleration;Count High Acceleration;Count Medium Deceleration;Count High Deceleration;PSV-99;Distance TIP;Running Distance TIP;HSR Distance TIP;Sprinting Distance TIP;HI Distance TIP;Count HSR TIP;Count Sprint TIP;Count HI TIP;Count Medium Acceleration TIP;Count High Acceleration TIP;Count Medium Deceleration TIP;Count High Deceleration TIP;Distance OTIP;Running Distance OTIP;HSR Distance OTIP;Sprinting Distance OTIP;HI Distance OTIP;Count HSR OTIP;Count Sprint OTIP;Count HI OTIP;Count Medium Acceleration OTIP;Count High Acceleration OTIP;Count Medium Deceleration OTIP;Count High Deceleration OTIP;M/min;M/min TIP;M/min OTIP;Count High Acceleration OTIP_p90;Count High Acceleration TIP_p90;Count High Deceleration OTIP_p90;Count High Deceleration TIP_p90;Count HSR OTIP_p90;Count HSR TIP_p90;Count Medium Acceleration OTIP_p90;Count Medium Acceleration TIP_p90;Count Medium Deceleration OTIP_p90;Count Medium Deceleration TIP_p90;Count Sprint OTIP_p90;Count Sprint TIP_p90;Distance OTIP_p90;Distance TIP_p90;HI Distance OTIP_p90;HI Distance TIP_p90;HSR Distance OTIP_p90;HSR Distance TIP_p90;Ammonizioni_p90;Assist_p90;Cross_p90;Cut Back_p90;Dribbling_p90;Espulsioni_p90;Falli subiti_p90;In Fuorigioco_p90;Third pass_p90;Tiri_p90;Tiri da area_p90;Tiri di testa_p90;Tiri fuori area_p90;Traversoni_p90;Triangolazioni_p90;Palle Laterali_p90;Passaggi Chiave_p90;Passaggi Chiave ricevuti_p90;Duelli aerei_p100;Duelli di gioco_p100;Duelli tackle_p100;Falli fatti_p100;Recupera palla_p100;Duelli nella metà campo offensiva_p100;cluster_bay;cluster_0;cluster_1;cluster_2;cluster_3;name;hybrid;cluster_4;cluster_5;cluster_6;cluster_7;cluster_8;cluster_9;cluster_10;cluster_11;Date of birth;Place of birth;Age;Height;Citizenship;Position_y;Foot;Joined;Contract expires;Outfitter;Player agent;Current club;Max_Val;Date_Max_Val;Name;NAME N.;tranfermarkt_id;Player_id;Numero;Valore;Date of last contract extension;Contract option;On loan from;Contract there expires;2nd club;3nd club;Squad;Starting eleven;Substituted in;On the bench;Suspended;Injured;Giocatore_y;val_num
0;Zlatan Ibrahimovic;0;03/10/1981;Sweden;FW;Milan;All-round finisher;23;1008;564;6.2524492;5.4707002;4.8960397;8;0;6;51;50;37;6.5239786;2.0122613;2.01137;1.7585548;0.7941231;0.6358275;0.1582956;2.8481544;0.0924704;12.9181814;7659;IBRAHIMOVIC Z.;1981;41;A;1122;44;20;35;2;9;9;1;8;5;2;3;0;8;2;0;0;0;0;0;0;2;0;698.7;643;400;10;15;32;12;124;38;20;2;9;2;1;0;2;2;4;24;12;12;417;486;9;7;3;0;0;0;0;2;1;0;121;14;13;8;12;6;3;2;182;172;92;159;80;92;57;51;18;0;1;14;15;10;19;2;0;0;0;14;0;0;0;0;0;1;0;0;0;0;16.14375;9.4;35.71428571;0;25;10.4125;1;0.652173913;77.32173913;20;0;;;50;0;48.43333333;45.24285714;66.66666667;47.53043478;46.39565217;58.84;37.8;63.09571429;71.73;;;;;;11122;11122;Zlatan Ibrahimovic;CF;Forward;1132.08;367.77;291.69;255806;105373;12032;5697;1881;7578;527;112;639;1067;130;911;239;594.5;43257;6986;3401;1037;4438;303;55;358;490;54;307;54;31351;3963;1828;663;2491;158;32;190;227;21;213;54;93.07911102;117.619708;107.4805444;1.875;4.821428571;4.821428571;4.821428571;14.10714286;27.05357143;20.26785714;43.75;19.01785714;27.41071429;2.857142857;4.910714286;2799.196429;3862.232143;222.4107143;396.25;163.2142857;303.6607143;0.178571429;1.785714286;0.625;0.178571429;1.071428571;0;0.892857143;1.696428571;0.089285714;3.928571429;3.125;0.803571429;0.803571429;0;2.142857143;0.803571429;2.857142857;11.07142857;16.31205674;30.4964539;9.042553191;2.659574468;2.304964539;28.19148936;10;;;;;Zlatan Ibrahimovic;FALSE;;;;;9.80E-12;8.66E-07;0.999999134;1.24E-41;Oct 3, 1981;Malmö;41;195;Sweden / Bosnia-Herzegovina;Attack - Centre-Forward;right;Jan 2, 2020;Jun 30, 2023;Nike;Team Raiola;AC Milan;€46.00m;Dec 3, 2009;Zlatan Ibrahimovi;IBRAHIMOVIC Z.;3455;11122;11;€2.00m;Jul 18, 2022;;;;;;25;11;12;2;0;13;Zlatan Ibrahimovi;2000000
1;Fabio Quagliarella;1;31/01/1983;Italy;FW;Sampdoria;Mobile finisher;33;1658;724;4.2591784;3.4774294;3.1082587;4;0;3;58;57;47;2.763425;1.83709;1.837037;1.9787015;0.6302698;0.5852175;0.0450523;2.5025187;0.0331145;28.6872887;6328;QUAGLIARELLA F.;1983;39;A;1785;34;16;21;2;13;6;0;4;4;1;0;0;4;1;0;0;0;0;0;1;0;0;916.7;600;550;3;5;39;11;135;26;14;2;8;1;2;0;0;2;2;15;6;9;454;573;21;21;6;0;0;0;0;0;0;0;171;23;18;8;33;16;20;18;291;263;108;194;64;70;19;120;43;0;0;34;20;28;15;2;0;0;0;34;0;0;0;0;0;0;0;0;0;0;12.5;15.625;0;;33.33333333;0;0.545454545;0.333333333;70.60625;29.48461538;0;;;;;50.93636364;42.98421053;86.36363636;37.02727273;33.425;26.06551724;35.27741935;38.33333333;61.64;;;;;;3281;3281;Fabio Quagliarella;CF;Forward;1791.41;517.13;537.3;108273;192800;24974;8871;2260;11131;877;120;997;1684;126;1393;291;901.8;67629;11081;4663;1334;5997;439;67;506;688;46;397;57;70809;11529;3668;671;4339;353;36;389;492;21;410;78;107.6247202;130.7775608;131.7867113;1.139927624;2.496984318;4.234016888;3.094089264;19.16164053;23.82991556;26.70687575;37.34620024;22.25572979;21.55006031;1.954161641;3.636911942;3843.6731;3671.055489;235.53076;325.53076;199.1073583;253.1182147;0.108564536;0.759951749;1.139927624;0;1.791314837;0;1.519903498;0.814234017;0.108564536;1.845597105;1.139927624;0.325693607;0.705669481;0;0.814234017;1.139927624;2.117008444;7.328106152;9.668508287;36.32596685;16.57458564;2.762430939;2.486187845;26.79558011;11;;;;;Fabio Quagliarella;FALSE;;;;;6.93E-06;0.002985091;0.003881124;0.993126858;Jan 31, 1983;Castellammare di Stabia;40;180;Italy;Attack - Centre-Forward;right;Jul 1, 2016;Jun 30, 2023;;AGB Sport Management;UC Sampdoria;€17.50m;Jan 20, 2011;Fabio Quagliarella;QUAGLIARELLA F.;22328;3281;27;€1.00m;Jul 4, 2022;;;;;;36;19;14;3;0;2;Fabio Quagliarella;1000000
2;Giorgio Chiellini;6;14/08/1984;Italy;CB;Juventus;First-line breaker;21;1352;1141;0.9417582;0.9417582;0.0228554;0;0;0;4;4;1;0;0.5117829;0.5031244;1.2373492;1.2127144;0.9377944;0.27492;-0.4532808;0.8570067;14.4098275;6112;CHIELLINI G.;1984;38;D;1457;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;64;1;0;0;7;0;1;0;1;0;0;0;0;3;2;1;939;731;3;3;0;0;0;0;0;0;0;0;75;21;140;21;12;11;25;11;222;200;157;64;36;80;58;68;52;2;0;12;16;22;2;2;0;0;0;12;0;0;0;0;2;0;0;0;0;0;0;0;0;;0;;2.285714286;0;80.77619048;0;0;;;;;32.09473684;85.71428571;51.53846154;70.85714286;52.71176471;72.28333333;76.57368421;67.85;54.33;;;;;;3943;3943;Giorgio Chiellini;LCB;Central Defender;1464.17;450;436.61;82803;151081;18531;5069;873;5942;461;53;514;1356;85;1150;180;548.3;52197;6776;1387;143;1530;124;9;133;382;14;333;34;58850;9240;3182;608;3790;274;31;305;615;14;393;48;103.1854225;115.9933333;134.788484;0.931952663;0.931952663;3.195266272;2.263313609;18.23964497;8.25443787;40.93934911;25.42899408;26.1612426;22.16715976;2.063609467;0.599112426;3917.529586;3474.652367;252.2928994;101.8491124;211.8195266;92.32988166;0.133136095;0.465976331;0.199704142;0;0.798816568;0;1.464497041;0.133136095;0.066568047;0.133136095;0.066568047;0;0.066568047;0;0.199704142;0.199704142;4.26035503;0;7.011393514;17.52848379;5.959684487;1.402278703;12.26993865;5.609114812;3;0.049533611;0.002201152;3.70E-06;0.948261537;Giorgio Chiellini;FALSE;;;;;;;;;Aug 14, 1984;Pisa;38;187;Italy;Defender - Centre-Back;left;Jul 7, 2022;Dec 31, 2023;Puma;Reset Group Srl;Los Angeles FC;€28.50m;Jul 3, 2012;Giorgio Chiellini;CHIELLINI G.;29260;3943;14;€1.00m;;;;;;;27;16;5;6;0;11;Giorgio Chiellini;1000000
3;Miguel Veloso;8;11/05/1986;Portugal;CM;Verona;Buildup director;22;1344;1070;0.6675934;0.6675934;0.2645902;0;0;0;17;17;9;1.3573583;1.9348106;0.9911753;1.0643006;1.0215311;0.8735733;0.1479578;-0.2359953;0.1095031;19.6370146;10005;VELOSO M.;1986;36;C;1424;13;3;2;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;150;0;0;64;17;6;1;20;3;14;2;1;0;0;3;3;11;8;3;899;605;21;21;6;0;0;0;0;0;0;0;81;16;94;26;9;8;38;24;206;199;103;78;33;65;37;69;37;0;1;25;18;7;0;7;1;1;0;25;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;0.227272727;0;77.94090909;24.84545455;0;;;;;39.555;95.83333333;64.01764706;46.635;51.55555556;57.33888889;49.82;58.49055556;49.87272727;;;;;;7578;7578;Miguel Veloso;LM;Midfield;1338.15;387.2;406.12;159138;159437;26289;8418;1674;10092;718;90;808;1357;56;1235;194;556.8;54464;10320;2710;434;3144;222;25;247;376;8;295;31;62327;13825;5205;1121;6326;433;51;484;544;21;415;62;119.1473303;140.661157;153.4694179;1.40625;0.535714286;4.151785714;2.075892857;28.99553571;14.86607143;36.42857143;25.17857143;27.79017857;19.75446429;3.415178571;1.674107143;4173.683036;3647.142857;423.6160714;210.5357143;348.5491071;181.4732143;0.46875;1.339285714;1.40625;0;0.602678571;0.066964286;0.46875;0;0.066964286;0.870535714;0.133928571;0;0.736607143;0;0.736607143;1.40625;4.285714286;0.401785714;6.074766355;18.59813084;6.448598131;1.682242991;8.785046729;7.289719626;6;;;;;Miguel Veloso;FALSE;1.46E-16;4.63E-06;0.999995372;4.87E-16;;;;;May 11, 1986;Coimbra;36;180;Portugal;midfield - Defensive Midfield;left;Jul 20, 2019;Jun 30, 2023;;Excellence Sport;Hellas Verona;€11.50m;Jul 13, 2010;Miguel Veloso;VELOSO M.;43848;7578;4;€700k;Apr 13, 2022;;;;;;25;17;5;3;1;12;Miguel Veloso;700000
4;Domenico Criscito;9;30/12/1986;Italy;FB;Genoa;Wide controller;20;1622;1275;5.7452423;0.2729993;0.128989;6;0;0;24;17;7;5.6121288;1.3257299;1.2391657;1.2725751;1.3839455;1.0722142;0.3117313;-0.3476567;0.9550726;28.9182834;7952;CRISCITO D.;1986;36;D;1743;15;7;8;0;7;0;7;6;6;0;0;0;6;6;0;0;0;0;6;0;0;0;600;700;0;0;0;52;6;8;2;8;1;5;1;1;0;0;1;1;2;1;1;1008;647;41;35;9;1;5;0;0;1;0;0;79;16;134;31;18;14;41;18;255;227;161;80;49;47;30;100;66;1;0;35;21;28;0;4;0;0;0;35;0;0;0;0;1;0;0;0;0;0;45.83333333;75;0;85.71428571;;;2.05;0.05;84.01;17.70833333;4.166666667;0;0;0;0;33.22105263;73.07692308;46.75555556;63.165;65.37222222;63.025;64.41;48.135;44.19230769;;;;;;2810;2810;Domenico Criscito;LCB;Central Defender;1753.01;481.2;539.65;56200;182647;21933;7583;2104;9687;684;119;803;1559;86;1332;255;554.2;57220;6891;2086;657;2743;191;32;223;417;19;369;45;73484;12735;4861;1227;6088;424;64;488;738;27;485;81;104.1905066;118.9110557;136.1697396;1.498150432;1.054254007;4.494451295;2.496917386;23.52651048;10.59802713;40.94944513;23.13810111;26.91122072;20.47472256;3.551171393;1.775585697;4077.410604;3174.969174;337.8051788;152.2009864;269.7225647;115.7459926;0.221948212;0.443896424;1.942046856;0.055487053;0.998766954;0;1.553637485;0;0.055487053;0.832305795;0.443896424;0;0.388409371;0.277435265;0.110974106;2.274969174;2.885326757;0.443896424;3.68627451;17.80392157;7.843137255;1.647058824;10.50980392;6.274509804;1;5.95E-08;0.937211372;0.061815159;0.000973409;Domenico Criscito;FALSE;;;;;;;;;Dec 30, 1986;Cercola;36;183;Italy;Defender - Left-Back;left;Jan 3, 2023;Jun 30, 2023;;PDP s.r.l.  Pasqualin D’Amico Partners;Genoa CFC;€16.00m;Jan 13, 2013;Domenico Criscito;CRISCITO D.;44136;2810;4;€250k;;;;;;;23;18;2;3;0;15;Domenico Criscito;250000
5;Lorenzo De Silvestri;12;23/05/1988;Italy;FB;Bologna;Wide controller;31;2298;1649;2.2583205;2.2583205;1.0195042;3;0;1;16;16;9;2.060757;1.953786;1.9122107;2.6235868;2.305091;1.6503475;0.6547435;0.5619283;0.4088159;39.8152247;6285;DE SILVESTRI L.;1988;34;D;2443;13;7;12;4;1;8;0;3;3;2;0;2;1;2;0;0;2;0;0;0;0;0;500;500;0;6;2;80;20;55;17;17;2;12;2;1;0;0;2;2;18;8;10;1331;1034;56;52;17;1;2;0;0;2;0;0;223;59;103;14;45;20;55;36;425;398;211;201;80;152;83;118;62;0;0;44;30;27;3;7;0;0;0;44;0;0;0;0;0;0;0;0;0;0;22.22222222;25;0;;33.33333333;50;2.64516129;0.677419355;73.73548387;29;0.668;0;0;0;0;34.12068966;42.39130435;62.7125;47.71935484;35.91290323;56.77;45.03;52.1915;60.83125;;;;;;6283;6283;Lorenzo De Silvestri;RWB;Full Back;2312.54;658.59;685.7;182207;263274;40490;15611;5121;20732;1278;237;1515;2481;211;2073;513;831.1;88079;15801;6251;2273;8524;496;106;602;729;58;558;108;100883;20182;8210;2287;10497;660;100;760;1054;60;711;150;113.846247;133.7387449;147.1241068;2.349869452;2.27154047;5.874673629;4.229765013;25.84856397;19.42558747;41.27937337;28.55091384;27.845953;21.8537859;3.916449086;4.151436031;3951.031332;3449.569191;411.1096606;333.8381201;321.54047;244.8172324;0.274151436;0.665796345;2.036553525;0.078328982;1.762402089;0;1.057441253;0.117493473;0.039164491;0.509138381;0.46997389;0.313315927;0.039164491;0.078328982;0.704960836;2.193211488;3.133159269;2.154046997;9.217707702;24.1358399;7.155852032;1.819284415;6.246209824;12.18920558;2;1.84E-11;0.011452976;0.9885456;1.42E-06;Lorenzo De Silvestri;FALSE;;;;;;;;;May 23, 1988;Roma;34;186;Italy;Defender - Right-Back;right;Sep 17, 2020;Jun 30, 2023;;Sergio Berti;Bologna FC 1909;€6.00m;Jul 19, 2010;Lorenzo De Silvestri;DE SILVESTRI L.;33571;6283;29;€600k;Jun 1, 2022;;;;;;32;27;4;1;1;5;Lorenzo De Silvestri;600000
6;Leonardo Bonucci;15;01/05/1987;Italy;CB;Juventus;Buildup initiator;24;2004;1543;5.5609278;3.2156808;0;5;0;0;17;14;0;4.867553;0.7570505;0.7292309;2.4150794;2.0986954;1.72539;0.3733054;-0.3400307;0.8333929;26.3760686;6111;BONUCCI L.;1987;35;D;2156;15;6;15;6;0;7;3;5;5;2;0;1;4;5;0;1;1;0;3;0;0;0;283.4;284;0;2;4;135;6;12;10;10;0;4;0;6;2;0;2;2;2;2;0;1279;1015;3;3;0;0;0;0;0;0;0;0;66;25;139;17;13;10;26;10;217;209;130;57;35;84;48;70;48;4;1;28;17;8;1;1;0;0;0;28;0;0;0;0;4;1;0;0;0;0;23.34;23.4;;100;50;25;3.5;0;89.92083333;0;0;;;;;27.64782609;79.16666667;43.75;63.64782609;65.7952381;63.58181818;65.45454545;68.72222222;50.07272727;;;;;;6169;6169;Leonardo Bonucci;LCB;Central Defender;2070.35;619.69;624.61;141887;203464;22544;6204;1339;7543;545;70;615;1807;97;1533;181;605.4;70854;8120;1575;243;1818;122;8;130;465;15;405;33;79900;11918;4166;948;5114;344;48;392;842;26;556;49;98.27517086;114.3378141;127.919822;1.167664671;0.673652695;2.200598802;1.482035928;15.4491018;5.479041916;37.81437126;20.88323353;24.97005988;18.18862275;2.155688623;0.359281437;3588.323353;3182.065868;229.6706587;81.64670659;187.0958084;70.73353293;0.04491018;0.449101796;0.134730539;0;0.583832335;0;0.359281437;0.04491018;0.269461078;0.673652695;0.673652695;0.314371257;0;0;0.089820359;0.134730539;6.062874251;0.538922156;5.443940376;13.54504213;4.53661698;1.101749838;9.008425146;3.694102398;3;1.56E-06;7.61E-07;7.27E-09;0.999997676;Leonardo Bonucci;FALSE;;;;;;;;;May 1, 1987;Viterbo;35;190;Italy;Defender - Centre-Back;right;Aug 2, 2018;Jun 30, 2024;Nike;World Soccer Agency;Juventus FC;€45.00m;Jun 8, 2017;Leonardo Bonucci;BONUCCI L.;39983;6169;19;€2.50m;Nov 19, 2019;;;;;;30;22;2;6;0;8;Leonardo Bonucci;2500000
7;Franck Ribéry;16;07/04/1983;France;CAM;Salernitana;Chance creator;23;1426;980;0.8601618;0.8601618;0.7294177;0;0;0;12;12;10;0.3885576;3.2906701;2.8862556;2.4981333;1.6867644;0.5632715;1.1234929;0.9596775;0;25.9077217;7740;RIBERY F.;1983;39;A;1517;11;5;6;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316.7;200;150;1;0;55;23;64;4;24;2;16;2;2;0;0;2;2;26;12;14;639;712;24;23;8;1;1;1;0;0;0;0;165;25;31;16;108;48;38;27;383;344;139;263;83;28;6;142;35;0;1;29;29;39;1;3;1;0;0;29;0;0;0;0;0;1;0;0;0;0;0;0;0;;0;;0.541666667;0.375;83.19130435;30.76923077;1.923076923;100;0;;;48.04;47.9952381;66.86470588;33.55217391;28.53913043;21.10666667;24.5;46.89857143;51.32941176;;;;;;3591;3591;Franck Ribery;LF;Forward;1525.29;398.24;474.96;82593;172926;24806;10283;3871;14154;868;198;1066;1529;82;1294;307;657.1;57836;11111;5302;1931;7233;437;101;538;512;26;328;58;67554;11635;4270;1479;5749;350;62;412;559;21;429;84;113.372539;145.2290076;142.2309247;1.325385694;1.640953717;5.301542777;3.66058906;22.08976157;27.58064516;35.28050491;32.3141655;27.07573633;20.70126227;3.913043478;6.374474053;4263.576438;3650.238429;362.8401122;456.5007013;269.4950912;334.628331;0.189340813;1.514726508;1.451612903;0;6.816269285;0.063113604;2.461430575;0.063113604;0.126227209;0.694249649;0.378681627;0.063113604;0.315568022;0.063113604;1.640953717;1.514726508;3.471248247;4.039270687;2.857142857;35.10204082;14.48979592;2.959183673;3.163265306;26.83673469;9;;;;;Franck Ribéry;FALSE;;;;;2.00E-08;0.948903949;1.06E-10;0.051096031;Apr 7, 1983;Boulogne-sur-Mer;40;170;France;Attack - Left Winger;right;Oct 21, 2022;-;Nike;Alain Migliaccio;Retired;€50.00m;Jan 17, 2010;Franck Rib ry;RIBERY F.;22068;3591;;-;;;;;;;24;16;7;1;1;11;Franck Rib ry;0
8;Danilo D'Ambrosio;25;09/09/1988;Italy;CB;Internazionale;Buildup initiator;20;990;892;1.6597051;1.6597051;1.2798586;1;0;1;14;14;8;1.257943;0.4315833;0.4236669;0.3192871;0.491415;0.6555638;-0.1641488;0.259428;0.902545;11.2135905;6091;D'AMBROSIO D.;1988;34;D;1092;10;4;9;3;1;4;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;250;300;0;3;3;27;3;18;12;2;1;2;1;1;0;0;1;1;5;1;4;732;632;6;4;2;0;1;0;0;1;1;0;49;17;79;14;12;6;27;10;170;164;100;61;27;48;32;64;39;3;0;3;13;6;1;2;0;0;0;3;0;0;0;0;3;0;0;0;0;0;7.142857143;7.142857143;0;;33.33333333;0;2.8;0.05;90.42;66.66666667;0;0;0;100;0;31.14705882;44.45;35.55333333;69.25263158;48.43846154;72.77777778;68.275;72.33333333;69.3;;;;;;2286;2286;Danilo D'Ambrosio;LCB;Central Defender;1104.54;392.27;271.5;45720;125647;18967;6121;1618;7739;518;86;604;1042;69;917;192;522.5;51420;8375;2190;448;2638;173;23;196;384;14;364;40;40205;7969;3184;883;4067;264;39;303;420;19;248;38;113.7550474;131.0831825;148.0847145;1.727272727;1.272727273;3.454545455;3.636363636;24;15.72727273;38.18181818;34.90909091;22.54545455;33.09090909;3.545454545;2.090909091;3655;4674.545455;369.7272727;239.8181818;289.4545455;199.0909091;0.181818182;0.181818182;0.363636364;0.090909091;1.090909091;0;0.545454545;0.090909091;0.090909091;0.909090909;0.818181818;0.363636364;0.090909091;0.090909091;0.454545455;0.545454545;2.454545455;1.636363636;5.381165919;18.38565022;7.174887892;1.457399103;8.856502242;6.838565022;3;1.13E-07;1.13E-07;2.92E-05;0.99997054;Danilo D'Ambrosio;FALSE;;;;;;;;;Sep 9, 1988;Napoli;34;180;Italy;Defender - Centre-Back;right;Jan 30, 2014;Jun 30, 2023;Nike;G.E.V. Sport&management srl;Inter Milan;€13.00m;Dec 29, 2017;Danilo D Ambrosio;D'AMBROSIO D.;55769;2286;33;€2.00m;Jun 28, 2021;;;;;;38;9;11;18;0;0;Danilo D Ambrosio;2000000
9;Matteo Darmian;26;02/12/1989;Italy;FB;Internazionale;Wide creator;25;1507;838;0.8894035;0.8894035;0.8894035;2;0;2;8;8;8;0.5595353;1.9421693;1.9266996;2.2313668;1.0111303;0.931156;0.0799743;0.4708967;0.027323;18.8690906;6314;DARMIAN M.;1989;33;D;1621;7;5;4;1;3;2;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;500;400;100;2;1;38;14;45;6;18;1;13;1;0;0;0;1;1;16;10;6;658;501;37;32;12;1;3;0;0;2;1;0;59;19;66;20;31;22;57;36;231;212;131;100;50;30;21;73;48;0;0;21;22;19;0;4;0;0;0;21;0;0;0;0;0;0;0;0;0;0;28.57142857;50;0;;50;0;0.32;0;83.872;38.22;6.666666667;0;0;50;0;41.18571429;64;62.98;57.97916667;49.55;73.89333333;68.17619048;59.08866667;63.03571429;;;;;;7229;7229;Matteo Darmian;RWB;Full Back;1632.09;540.24;432.44;180725;186051;29525;11689;4479;16168;932;202;1134;1679;149;1403;329;739.4;72386;13589;5730;2319;8049;418;91;509;509;46;414;82;62294;12280;5003;1799;6802;405;80;485;628;32;383;81;113.9955517;133.9885977;144.0523541;1.911081619;2.747179827;4.837425348;4.897146649;24.18712674;24.96350365;37.50497678;30.398142;22.87325813;24.72461845;4.777704048;5.434638354;3720.278699;4322.986065;406.2242867;480.6967485;298.7856669;342.2030524;0.238885202;1.074983411;1.911081619;0.119442601;1.851360319;0;1.134704711;0;0;0.418049104;0.238885202;0.119442601;0.179163902;0.179163902;0.95554081;2.209688122;2.269409423;2.687458527;3.579952267;25.29832936;8.711217184;2.625298329;7.875894988;11.93317422;2;5.90E-17;4.71E-06;0.999995262;2.59E-08;Matteo Darmian;FALSE;;;;;;;;;Dec 2, 1989;Legnano;33;183;Italy;Defender - Right-Back;right;Jul 1, 2021;Jun 30, 2024;;TMP SOCCER srl;Inter Milan;€15.00m;Oct 14, 2015;Matteo Darmian;DARMIAN M.;54906;7229;36;€4.00m;Feb 2, 2023;Option for a further year;;;;;34;18;7;9;0;4;Matteo Darmian;4000000
